                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.84712,                0.43679,                0.88197,                0.97107,                0.93669,                0.97822,                0.79238,                0.69877,                0.34079,                0.86826,                0.00197,                0.00197,                0.00197
                     75,                0.84372,                0.43403,                0.88113,                 0.9707,                0.93806,                0.97863,                0.79378,                0.69574,                0.34018,                 0.8676,                0.00186,                0.00186,                0.00186
                     76,                 0.8414,                0.43114,                0.88019,                0.97127,                0.93941,                0.97916,                0.79537,                0.69689,                0.33841,                0.86791,                0.00175,                0.00175,                0.00175
                     77,                0.83832,                0.42922,                0.87796,                 0.9729,                0.93925,                0.97982,                0.79604,                0.69151,                0.33672,                0.86685,                0.00164,                0.00164,                0.00164
                     78,                0.83334,                0.42549,                0.87847,                0.97142,                0.93911,                0.97961,                0.79747,                0.68996,                0.33515,                0.86654,                0.00153,                0.00153,                0.00153
                     79,                0.83436,                 0.4261,                0.87712,                0.97191,                0.94044,                0.97921,                0.79703,                 0.6904,                 0.3341,                 0.8666,                0.00142,                0.00142,                0.00142
                     80,                0.83258,                0.42586,                0.87979,                0.97278,                0.94043,                0.97867,                0.79719,                0.68863,                0.33287,                0.86585,                0.00131,                0.00131,                0.00131
                     81,                 0.7619,                0.38187,                0.86711,                0.97427,                0.93926,                0.97931,                0.79689,                 0.6911,                0.33529,                 0.8657,                 0.0012,                 0.0012,                 0.0012
                     82,                0.75494,                0.37664,                0.86448,                0.97612,                0.93968,                0.98004,                0.80016,                0.68592,                 0.3343,                0.86514,                0.00109,                0.00109,                0.00109
                     83,                 0.7576,                0.37617,                0.86583,                0.97447,                 0.9393,                0.98004,                0.80049,                 0.6832,                0.33319,                0.86436,                0.00098,                0.00098,                0.00098
                     84,                0.75119,                0.37466,                0.86082,                0.97404,                0.93907,                0.97993,                0.80196,                0.68063,                0.33117,                0.86353,                0.00087,                0.00087,                0.00087
                     85,                0.74289,                0.37055,                0.85905,                0.97398,                0.94113,                0.97973,                0.80282,                0.67954,                0.33024,                0.86284,                0.00076,                0.00076,                0.00076
                     86,                  0.741,                0.36904,                0.85839,                0.97451,                0.93946,                0.97954,                 0.8024,                0.67935,                0.32948,                0.86248,                0.00065,                0.00065,                0.00065
                     87,                0.73599,                0.36332,                0.85948,                0.97485,                0.93964,                0.98013,                0.80268,                0.67849,                0.32727,                0.86147,                0.00054,                0.00054,                0.00054
                     88,                0.73325,                0.36431,                0.85813,                0.97608,                0.93797,                0.98017,                0.80313,                0.67776,                0.32699,                0.86092,                0.00043,                0.00043,                0.00043
                     89,                0.72976,                0.35923,                0.85783,                0.97476,                0.93884,                 0.9797,                0.80412,                  0.676,                0.32566,                 0.8601,                0.00032,                0.00032,                0.00032
                     90,                0.72655,                0.35725,                0.85712,                0.97516,                0.93816,                0.98026,                 0.8044,                0.67417,                0.32465,                0.85958,                0.00021,                0.00021,                0.00021
